"id","name","created_at","updated_at","uri"
1,"United States of America","2018-07-03 15:41:39.143417","2018-07-05 21:01:25.348278","spotify:user:thesoundsofspotify:playlist:6SXqTPTGz3FXZ7JZgrTa6S"
2,"United Kingdom","2018-07-03 15:42:14.415318","2018-07-05 21:01:25.378122","spotify:user:thesoundsofspotify:playlist:7enaPLxfS4owel1hFBW7KU"
3,"Germany","2018-07-03 15:42:16.154544","2018-07-05 21:01:25.394223","spotify:user:thesoundsofspotify:playlist:4L6pZ0ihP6RN35WcyvZQJB"
4,"France","2018-07-03 15:42:17.183911","2018-07-05 21:01:25.405822","spotify:user:thesoundsofspotify:playlist:0TM63udBodwHZE7jCXw5Pc"
5,"Japan","2018-07-03 15:42:17.82815","2018-07-05 21:01:25.431807","spotify:user:thesoundsofspotify:playlist:6Ul144kSbf8uO2plqc2kC0"
6,"Brazil","2018-07-03 15:42:18.208729","2018-07-05 21:01:25.453482","spotify:user:thesoundsofspotify:playlist:5KHbclM6e6EVONQirubFMO"
7,"Sweden","2018-07-03 15:42:18.577159","2018-07-05 21:01:25.477921","spotify:user:thesoundsofspotify:playlist:1r32lZ0rBYRox0JNHQyyZw"
8,"Spain","2018-07-03 15:42:19.064684","2018-07-05 21:01:25.496116","spotify:user:thesoundsofspotify:playlist:2Pwbi4SQiROWX2SSwlGHNH"
9,"Mexico","2018-07-03 15:42:19.426017","2018-07-05 21:01:25.508995","spotify:user:thesoundsofspotify:playlist:4KEDTn9diHpbSeMAORDfS6"
10,"Canada","2018-07-03 15:42:19.782506","2018-07-05 21:01:25.520257","spotify:user:thesoundsofspotify:playlist:7EeZTIWCXCGbeiEclJoBBn"
11,"Netherlands","2018-07-03 15:42:20.098045","2018-07-05 21:01:25.536444","spotify:user:thesoundsofspotify:playlist:3KuxYcB3SY9lCNMeVVq5wl"
12,"India","2018-07-03 15:42:20.379785","2018-07-05 21:01:25.551344","spotify:user:thesoundsofspotify:playlist:4PHxzXyPsm2O89BUQZ79mU"
13,"Italy","2018-07-03 15:42:20.623493","2018-07-05 21:01:25.566067","spotify:user:thesoundsofspotify:playlist:2TtVE9heBUr1c4hmIQhIpQ"
14,"Norway","2018-07-03 15:42:20.843905","2018-07-05 21:01:25.583002","spotify:user:thesoundsofspotify:playlist:6i4EhwqgzBFr8m36oSaId7"
15,"Argentina","2018-07-03 15:42:21.077475","2018-07-05 21:01:25.595488","spotify:user:thesoundsofspotify:playlist:6fv5nMucCr4JLbanpHmVA5"
16,"Finland","2018-07-03 15:42:21.27966","2018-07-05 21:01:25.613699","spotify:user:thesoundsofspotify:playlist:4qsbirgyCjBlQXKAf68H1V"
17,"Australia","2018-07-03 15:42:21.462878","2018-07-05 21:01:25.629816","spotify:user:thesoundsofspotify:playlist:2XVNjIYqXmzPbneYemRrix"
18,"South Africa","2018-07-03 15:42:21.664766","2018-07-05 21:01:25.647053","spotify:user:thesoundsofspotify:playlist:6KeYZIeYiElx86iOhDigH3"
19,"Turkey","2018-07-03 15:42:21.834407","2018-07-05 21:01:25.663859","spotify:user:thesoundsofspotify:playlist:7Bmk5Tk58D2w6TI8Jfe8fn"
20,"China","2018-07-03 15:42:21.980766","2018-07-05 21:01:25.678953","spotify:user:thesoundsofspotify:playlist:1otAiOltVxRirrrH50hfWx"
21,"Russia","2018-07-03 15:42:22.130487","2018-07-05 21:01:25.691243","spotify:user:thesoundsofspotify:playlist:4r1bqx0pcl99LWew9pSGEL"
22,"Denmark","2018-07-03 15:42:22.262871","2018-07-05 21:01:25.702419","spotify:user:thesoundsofspotify:playlist:7c0IjW5MmngEjLm9ii7LeT"
23,"Poland","2018-07-03 15:42:22.387326","2018-07-05 21:01:25.716487","spotify:user:thesoundsofspotify:playlist:7B8G22apRJ4pSGLhJI8ph4"
24,"Indonesia","2018-07-03 15:42:22.503316","2018-07-05 21:01:25.730336","spotify:user:thesoundsofspotify:playlist:7rvfCudCXTGNrUeKPOaUTi"
25,"Colombia","2018-07-03 15:42:22.616239","2018-07-05 21:01:25.748396","spotify:user:thesoundsofspotify:playlist:0nK6y27PHOAsWc24VchHNb"
26,"Israel","2018-07-03 15:42:22.732272","2018-07-05 21:01:25.760466","spotify:user:thesoundsofspotify:playlist:5eQM0nuGRnzMTvVcsnkK9J"
27,"Jamaica","2018-07-03 15:42:22.841655","2018-07-05 21:01:25.772999","spotify:user:thesoundsofspotify:playlist:64IoS9dnXVYAjAEKrmbOnq"
28,"Portugal","2018-07-03 15:42:22.936873","2018-07-05 21:01:25.787208","spotify:user:thesoundsofspotify:playlist:6RhCb3uucw06ETaPrwUpPz"
29,"Chile","2018-07-03 15:42:23.038864","2018-07-05 21:01:25.798224","spotify:user:thesoundsofspotify:playlist:0BpFdlssgmbxj5dkamrqC0"
30,"Puerto Rico","2018-07-03 15:42:23.148573","2018-07-05 21:01:25.816557","spotify:user:thesoundsofspotify:playlist:4TroTx6oxNuVC94tMN53uD"
31,"Dominican Republic","2018-07-03 15:42:23.25229","2018-07-05 21:01:25.833884","spotify:user:thesoundsofspotify:playlist:0Kh97QBYQ8OtUI8Mk8U09a"
32,"Belgium","2018-07-03 15:42:23.341986","2018-07-05 21:01:25.846256","spotify:user:thesoundsofspotify:playlist:3WY9ZhUBxQXjI9ipQbR6kL"
33,"Taiwan","2018-07-03 15:42:23.421027","2018-07-05 21:01:25.865325","spotify:user:thesoundsofspotify:playlist:5kIbCAkF1bydnWYJF76Tfd"
34,"Austria","2018-07-03 15:42:23.497694","2018-07-05 21:01:25.875359","spotify:user:thesoundsofspotify:playlist:0gCqClabjS49E3IvPxJmXe"
35,"Greece","2018-07-03 15:42:23.575332","2018-07-05 21:01:25.886444","spotify:user:thesoundsofspotify:playlist:6x4EFVW8OpaVtP1HZY6QeH"
36,"New Zealand","2018-07-03 15:42:23.652184","2018-07-05 21:01:25.90323","spotify:user:thesoundsofspotify:playlist:6mbBBmvZ9Rmupa30sG08yx"
37,"Philippines","2018-07-03 15:42:23.739006","2018-07-05 21:01:25.919159","spotify:user:thesoundsofspotify:playlist:30UNGJf8WiW5qwGI83WRIc"
38,"Czech Republic","2018-07-03 15:42:23.810298","2018-07-05 21:01:25.933312","spotify:user:thesoundsofspotify:playlist:4E4rfKvIvM58k9owC7GeJt"
39,"Switzerland","2018-07-03 15:42:23.890553","2018-07-05 21:01:25.952962","spotify:user:thesoundsofspotify:playlist:6ParkTbaxqd3m5tjuPlIbT"
40,"Ireland","2018-07-03 15:42:23.960782","2018-07-05 21:01:25.971145","spotify:user:thesoundsofspotify:playlist:4Bg23XBXrv3TmNKBoWR7Z9"
41,"Hong Kong","2018-07-03 15:42:24.021621","2018-07-05 21:01:25.990674","spotify:user:thesoundsofspotify:playlist:3TrjAEBsU0xEpYsaHfdoCl"
42,"Iceland","2018-07-03 15:42:24.077721","2018-07-05 21:01:26.008031","spotify:user:thesoundsofspotify:playlist:2LQh4jrw98zQqo20sBZAb6"
43,"Hungary","2018-07-03 15:42:24.143416","2018-07-05 21:01:26.020756","spotify:user:thesoundsofspotify:playlist:3m4pWTBMYVDYdpouF7h654"
44,"South Korea","2018-07-03 15:42:24.215451","2018-07-05 21:01:26.042023","spotify:user:thesoundsofspotify:playlist:5UXrG4KQfQqTx5qrrSPeIx"
45,"Malaysia","2018-07-03 15:42:24.290037","2018-07-05 21:01:26.067269","spotify:user:thesoundsofspotify:playlist:0wUIYdCrysNjmdqY3XAiUL"
46,"Thailand","2018-07-03 15:42:24.360597","2018-07-05 21:01:26.081973","spotify:user:thesoundsofspotify:playlist:2jze9uOjsqnz9AYTIobJBN"
47,"Peru","2018-07-03 15:42:24.417989","2018-07-05 21:01:26.100504","spotify:user:thesoundsofspotify:playlist:11kNR35Gm19Uja3mM5kkQ0"
48,"Cuba","2018-07-03 15:42:24.480995","2018-07-03 15:42:24.480995","spotify:user:barbicancentre:playlist:2040n5A1wal0GRcz9MNBYS"
49,"Romania","2018-07-03 15:42:24.531421","2018-07-05 21:01:26.405274","spotify:user:thesoundsofspotify:playlist:0llQlXU7qy1ubNcevVNiBV"
50,"Uruguay","2018-07-03 15:42:24.585041","2018-07-05 21:01:26.422237","spotify:user:thesoundsofspotify:playlist:7veYKAgvBaom11iHhdIelV"
51,"Bulgaria","2018-07-03 15:42:24.633402","2018-07-05 21:01:26.438692","spotify:user:thesoundsofspotify:playlist:0feZbPn3DcsrLAF26CeNmp"
52,"Iran","2018-07-03 15:42:24.6944","2018-07-03 15:42:24.6944","spotify:user:maryam-etienne:playlist:402L1X0gpPy48xHxpLZXCG"
53,"Ukraine","2018-07-03 15:42:24.747653","2018-07-05 21:01:26.758937","spotify:user:thesoundsofspotify:playlist:3g3b1X7KGFbhrrJSaOd33E"
54,"Pakistan","2018-07-03 15:42:24.794301","2018-07-05 21:01:26.773465","spotify:user:thesoundsofspotify:playlist:0FlQ9FODiPVmSgKPYtuvtv"
55,"Nigeria","2018-07-03 15:42:24.838678","2018-07-05 21:01:26.787982","spotify:user:thesoundsofspotify:playlist:0gpwdCWOt1eBCX9QkvIk7J"
56,"Egypt","2018-07-03 15:42:24.887562","2018-07-05 21:01:26.800874","spotify:user:thesoundsofspotify:playlist:3dM8mbIAa94xP71GdAWfPD"
57,"Croatia","2018-07-03 15:42:24.936305","2018-07-05 21:01:26.814882","spotify:user:thesoundsofspotify:playlist:0znxuqGLZY1gcMH8Uogbd4"
58,"Venezuela","2018-07-03 15:42:24.980451","2018-07-05 21:01:26.834581","spotify:user:thesoundsofspotify:playlist:1QXWTBLj78mYJwCCkVXQZd"
59,"Serbia","2018-07-03 15:42:25.025921","2018-07-05 21:01:26.852676","spotify:user:thesoundsofspotify:playlist:55JkDUT2t288c8Fppd7woz"
60,"Trinidad & Tobago","2018-07-03 15:42:25.067181","2018-07-05 21:01:26.879367","spotify:user:thesoundsofspotify:playlist:2MOsy7lhNk5f2QaUStT3Ji"
61,"Lithuania","2018-07-03 15:42:25.111604","2018-07-05 21:01:26.890815","spotify:user:thesoundsofspotify:playlist:0VJCmxJDPwzmZiK2bk6ZtT"
62,"Paraguay","2018-07-03 15:42:25.152519","2018-07-05 21:01:26.906213","spotify:user:thesoundsofspotify:playlist:3vGWbwhksMNaxeUKPcO4mM"
63,"Lebanon","2018-07-03 15:42:25.194749","2018-07-05 21:01:26.919566","spotify:user:thesoundsofspotify:playlist:0wLKeY1tVzIWQezNxHiwe8"
64,"Vietnam","2018-07-03 15:42:25.225458","2018-07-05 21:01:26.93425","spotify:user:thesoundsofspotify:playlist:7CpbHSAFqJcwy78oXCcwBq"
65,"Macedonia","2018-07-03 15:42:25.256774","2018-07-05 21:01:26.945921","spotify:user:thesoundsofspotify:playlist:4GgQJoSn6UuXFIc17cbsEu"
66,"Estonia","2018-07-03 15:42:25.289055","2018-07-05 21:01:26.957614","spotify:user:thesoundsofspotify:playlist:23RHAc40tjPnFXHbNuxajM"
67,"Ghana","2018-07-03 15:42:25.316947","2018-07-05 21:01:26.97112","spotify:user:thesoundsofspotify:playlist:6zvs325lRproQd0Sd83oQg"
68,"Singapore","2018-07-03 15:42:25.344335","2018-07-05 21:01:26.985898","spotify:user:thesoundsofspotify:playlist:595CAPQRuGdsTFTGav4hce"
69,"Latvia","2018-07-03 15:42:25.378762","2018-07-05 21:01:27.006512","spotify:user:thesoundsofspotify:playlist:3IUg2y3vvMotrHGIp03SX2"
70,"Mali","2018-07-03 15:42:25.406351","2018-07-03 15:42:25.406351",
71,"Côte D'Ivoire","2018-07-03 15:42:25.445524","2018-07-05 21:01:27.249783","spotify:user:thesoundsofspotify:playlist:0TRVhOLs0gqIlP720UTscY"
72,"Congo (Kinshasa)","2018-07-03 15:42:25.470391","2018-07-03 15:42:25.470391",
73,"Bosnia and Herzegovina","2018-07-03 15:42:25.500478","2018-07-05 21:01:27.632256","spotify:user:thesoundsofspotify:playlist:3gtnhLgAZePOlwgiPoI5L0"
74,"Algeria","2018-07-03 15:42:25.527038","2018-07-05 21:01:27.642121","spotify:user:thesoundsofspotify:playlist:5AwXHaHjXeAdViA0fYX4Wh"
75,"Guinea","2018-07-03 15:42:25.552887","2018-07-03 15:42:25.552887",
76,"Slovakia","2018-07-03 15:42:25.579976","2018-07-05 21:01:27.869948","spotify:user:thesoundsofspotify:playlist:2aKp7vT30fCQD2qAHB1bxA"
77,"Guatemala","2018-07-03 15:42:25.599594","2018-07-05 21:01:27.894269","spotify:user:thesoundsofspotify:playlist:07iV0530DfwvE1458hYCsD"
78,"Zimbabwe","2018-07-03 15:42:25.622244","2018-07-05 21:01:27.908331","spotify:user:thesoundsofspotify:playlist:5Q5oZY8yq6zFNhzdOVTonV"
79,"Cape Verde","2018-07-03 15:42:25.651198","2018-07-03 15:42:25.651198","spotify:user:ael2k1ic12w6l5dpho25q78jf:playlist:7gDslXnm9gQHmkkDfOLo4T"
80,"Senegal","2018-07-03 15:42:25.676645","2018-07-05 21:01:28.193366","spotify:user:thesoundsofspotify:playlist:2Jp7Pe0CKDhFYHW3ZJTP3G"
81,"Azerbaijan","2018-07-03 15:42:25.697877","2018-07-05 21:01:28.213811","spotify:user:thesoundsofspotify:playlist:4NDIAkYbzUWScRh0crPKbK"
82,"Angola","2018-07-03 15:42:25.718771","2018-07-05 21:01:28.229011","spotify:user:thesoundsofspotify:playlist:3JnjjO0fon5SSwXcdVhQRX"
83,"Guadeloupe","2018-07-03 15:42:25.734802","2018-07-05 21:01:28.241642","spotify:user:thesoundsofspotify:playlist:1Isre44J8fM4T4fjvmFc4S"
84,"Morocco","2018-07-03 15:42:25.751411","2018-07-05 21:01:28.254952","spotify:user:thesoundsofspotify:playlist:2YJuVrXO5UhQ6LnFeovPxi"
85,"Bolivia","2018-07-03 15:42:25.768837","2018-07-05 21:01:28.265267","spotify:user:thesoundsofspotify:playlist:1vzZRy7kp4rn7ZgV0RdP8p"
86,"Martinique","2018-07-03 15:42:25.790514","2018-07-05 21:01:28.278383","spotify:user:thesoundsofspotify:playlist:4BcTwgtdVGldxxIP2uLZZp"
87,"British Virgin Islands","2018-07-03 15:42:25.807198","2018-07-03 15:42:25.807198",
88,"Barbados","2018-07-03 15:42:25.829885","2018-07-05 21:01:28.625838","spotify:user:thesoundsofspotify:playlist:7LoDph8nD8uRwu77Zq2H7R"
89,"Slovenia","2018-07-03 15:42:25.855219","2018-07-05 21:01:28.6388","spotify:user:thesoundsofspotify:playlist:0cSeAbTUeoxTvvOcEnb8Nn"
90,"United Arab Emirates","2018-07-03 15:42:25.87411","2018-07-05 21:01:28.661131","spotify:user:thesoundsofspotify:playlist:3eDrYB8uZwWjMVdZBnVyd2"
91,"Sri Lanka","2018-07-03 15:42:25.892816","2018-07-05 21:01:28.682623","spotify:user:thesoundsofspotify:playlist:6kLpGx3m3dJvV2lO0rmCV2"
92,"Kenya","2018-07-03 15:42:25.912081","2018-07-05 21:01:28.694856","spotify:user:thesoundsofspotify:playlist:2WMjmDXuKj7xS7eRVi58lq"
93,"Malta","2018-07-03 15:42:25.929077","2018-07-05 21:01:28.7067","spotify:user:thesoundsofspotify:playlist:12UnwNXrAWcqg7bh2i7JjR"
94,"Mozambique","2018-07-03 15:42:25.945031","2018-07-05 21:01:28.719275","spotify:user:thesoundsofspotify:playlist:5CwtwPlKLuOdHb3FOSeK0G"
95,"Belarus","2018-07-03 15:42:25.957959","2018-07-05 21:01:28.732295","spotify:user:thesoundsofspotify:playlist:7lg52VtBfC7daJUEZbtFV3"
96,"Nepal","2018-07-03 15:42:25.974817","2018-07-05 21:01:28.749024","spotify:user:thesoundsofspotify:playlist:1oTWxwffWn3y6SWq6Hsh3S"
97,"Costa Rica","2018-07-03 15:42:25.990956","2018-07-05 21:01:28.763227","spotify:user:thesoundsofspotify:playlist:65kdQo5kDLvb1971RY8pOy"
98,"Ecuador","2018-07-03 15:42:26.007902","2018-07-05 21:01:28.775335","spotify:user:thesoundsofspotify:playlist:4E34NzKniK1FSSu33ZbVCS"
99,"Panama","2018-07-03 15:42:26.025125","2018-07-05 21:01:28.794893","spotify:user:thesoundsofspotify:playlist:0RlFUSKKLMGdjqUmbcmTOG"
100,"Armenia","2018-07-03 15:42:26.042561","2018-07-05 21:01:28.812304","spotify:user:thesoundsofspotify:playlist:60XDgHfPVx9WXUP9O1RHmR"
101,"Madagascar","2018-07-03 15:42:26.056666","2018-07-03 15:42:26.056666",
102,"Haiti","2018-07-03 15:42:26.073903","2018-07-05 21:01:29.043458","spotify:user:thesoundsofspotify:playlist:6gpIsAC2MgSlUbnfeEmhDk"
103,"Bangladesh","2018-07-03 15:42:26.086185","2018-07-05 21:01:29.055038","spotify:user:thesoundsofspotify:playlist:72KZpp6ui4v9iXBTBZPMB5"
104,"Georgia","2018-07-03 15:42:26.100849","2018-07-05 21:01:29.066313","spotify:user:thesoundsofspotify:playlist:5PCcQdReoRSZ9acHBWyUX9"
105,"Honduras","2018-07-03 15:42:26.113615","2018-07-05 21:01:29.080393","spotify:user:thesoundsofspotify:playlist:04zkswFSpU3aK2SkBwPLv8"
106,"Cameroon","2018-07-03 15:42:26.133799","2018-07-05 21:01:29.094347","spotify:user:thesoundsofspotify:playlist:6jGOLPKsOq6j8C6u4OyjTh"
107,"Uganda","2018-07-03 15:42:26.147831","2018-07-05 21:01:29.110673","spotify:user:thesoundsofspotify:playlist:1eupXwGWEOwe980kCEjOaW"
108,"Ethipoia","2018-07-03 15:42:26.164376","2018-07-05 21:01:29.121653","spotify:user:thesoundsofspotify:playlist:7ChWnjKFFUzCWwpkTUwhQu"
109,"Faroe Islands","2018-07-03 15:42:26.183689","2018-07-05 21:01:29.136145","spotify:user:thesoundsofspotify:playlist:6O7hmkU1oS9lqBsSpn8nxZ"
110,"Belize","2018-07-03 15:42:26.196017","2018-07-10 17:18:11.420327","spotify:user:thesoundsofspotify:playlist:6gtymdOz6shoH3vN1fK0lS"
111,"Tanzania","2018-07-03 15:42:26.211061","2018-07-05 21:01:29.342644","spotify:user:thesoundsofspotify:playlist:56S93wwXTegxAuz9Np96zY"
112,"Réunion","2018-07-03 15:42:26.226457","2018-07-05 21:01:29.361815","spotify:user:thesoundsofspotify:playlist:4n1gY1OoQBd8tb8nSGkaj0"
113,"El Salvador","2018-07-03 15:42:26.241469","2018-07-05 21:01:29.374571","spotify:user:thesoundsofspotify:playlist:5cgHq0FJENtKQq1GlGtt8c"
114,"Tuvalu","2018-07-03 15:42:26.255058","2018-07-03 15:42:26.255058",
115,"Albania","2018-07-03 15:42:26.269997","2018-07-05 21:01:29.577856","spotify:user:thesoundsofspotify:playlist:5FuuvFDE1GUh138tXzhXi6"
116,"Jordan","2018-07-03 15:42:26.280883","2018-07-05 21:01:29.602961","spotify:user:thesoundsofspotify:playlist:2jmUqTa40ibjCNMlkFFdRx"
117,"San Marino","2018-07-03 15:42:26.295156","2018-07-03 15:42:26.295156",
118,"Congo (Brazzaville)","2018-07-03 15:42:26.309112","2018-07-03 15:42:26.309112","spotify:user:08281997:playlist:3U2KimRrtg8gUmOS8wA0EC"
119,"Mauritius","2018-07-03 15:42:26.3205","2018-07-05 21:01:30.203781","spotify:user:thesoundsofspotify:playlist:1mfaaV4D5k5TiPDvJ5KZCc"
120,"Niger","2018-07-03 15:42:26.330785","2018-07-03 15:42:26.330785",
121,"Mongolia","2018-07-03 15:42:26.342965","2018-07-05 21:01:30.41587","spotify:user:thesoundsofspotify:playlist:6BCx9SPdEYl2dFlmCXYlut"
122,"Saudi Arabia","2018-07-03 15:42:26.356878","2018-07-05 21:01:30.435071","spotify:user:thesoundsofspotify:playlist:73iQK7fMpl991gAEnPcetg"
